id	jurisdiction	variant	percent	origin_samples	collection_date	month	day	year
1	ak	BA.2.23	0.1626	a5	11/22/2025	11	22	2025
2	ak	BA.2.31	99.8374	a5	11/22/2025	11	22	2025
3	ak	AY.111	3.0478	a35,a36	11/29/2025	11	29	2025
4	ak	AY.119	3.0478	a35,a36	11/29/2025	11	29	2025
5	ak	AY.119.2	3.0478	a35,a36	11/29/2025	11	29	2025
6	ak	AY.124	3.0478	a35,a36	11/29/2025	11	29	2025
7	ak	AY.127	3.0478	a35,a36	11/29/2025	11	29	2025
8	ak	AY.26	5.5557	a35,a36	11/29/2025	11	29	2025
9	ak	AY.33	3.0478	a35,a36	11/29/2025	11	29	2025
10	ak	AY.38	5.5557	a35,a36	11/29/2025	11	29	2025
11	ak	AY.4	3.0478	a35,a36	11/29/2025	11	29	2025
12	ak	AY.4.3	3.0478	a35,a36	11/29/2025	11	29	2025
13	ak	AY.44	3.0478	a35,a36	11/29/2025	11	29	2025
14	ak	AY.45	3.0478	a35,a36	11/29/2025	11	29	2025
15	ak	AY.58	5.5557	a35,a36	11/29/2025	11	29	2025
16	ak	AY.59	5.5557	a35,a36	11/29/2025	11	29	2025
17	ak	AY.61	5.5557	a35,a36	11/29/2025	11	29	2025
18	ak	AY.67	5.5557	a35,a36	11/29/2025	11	29	2025
19	ak	AY.71	5.5557	a35,a36	11/29/2025	11	29	2025
20	ak	AY.75	5.5557	a35,a36	11/29/2025	11	29	2025
21	ak	AY.75.2	5.5557	a35,a36	11/29/2025	11	29	2025
22	ak	AY.77	3.0478	a35,a36	11/29/2025	11	29	2025
23	ak	AY.80	3.0478	a35,a36	11/29/2025	11	29	2025
24	ak	AY.98	3.0478	a35,a36	11/29/2025	11	29	2025
25	ak	B.1.617.2	10.3773	a35,a36	11/29/2025	11	29	2025
26	al	AY.111	3.0478	a37	11/29/2025	11	29	2025
27	al	AY.119	3.0478	a37	11/29/2025	11	29	2025
28	al	AY.119.2	3.0478	a37	11/29/2025	11	29	2025
29	al	AY.124	3.0478	a37	11/29/2025	11	29	2025
30	al	AY.127	3.0478	a37	11/29/2025	11	29	2025
31	al	AY.26	5.5557	a37	11/29/2025	11	29	2025
32	al	AY.33	3.0478	a37	11/29/2025	11	29	2025
33	al	AY.38	5.5557	a37	11/29/2025	11	29	2025
34	al	AY.4	3.0478	a37	11/29/2025	11	29	2025
35	al	AY.4.3	3.0478	a37	11/29/2025	11	29	2025
36	al	AY.44	3.0478	a37	11/29/2025	11	29	2025
37	al	AY.45	3.0478	a37	11/29/2025	11	29	2025
38	al	AY.58	5.5557	a37	11/29/2025	11	29	2025
39	al	AY.59	5.5557	a37	11/29/2025	11	29	2025
40	al	AY.61	5.5557	a37	11/29/2025	11	29	2025
41	al	AY.67	5.5557	a37	11/29/2025	11	29	2025
42	al	AY.71	5.5557	a37	11/29/2025	11	29	2025
43	al	AY.75	5.5557	a37	11/29/2025	11	29	2025
44	al	AY.75.2	5.5557	a37	11/29/2025	11	29	2025
